Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;Effectifs;IPS
2022-2023;GRENOBLE;038;ISERE;0381934W;ECOLE PRIMAIRE;38035;BEAUVOIR DE MARC;public;71.0;107.9
2022-2023;GRENOBLE;038;ISERE;0381962B;ECOLE PRIMAIRE PRIVEE;38189;HEYRIEUX;privé sous contrat;55.0;119.3
2022-2023;GRENOBLE;038;ISERE;0382017L;ECOLE PRIMAIRE;38075;CHAPAREILLAN;public;172.0;118.3
2022-2023;GRENOBLE;038;ISERE;0382018M;ECOLE PRIMAIRE CHARTREUSE;38100;LE CHEYLAS;public;96.0;134.0
2022-2023;GRENOBLE;038;ISERE;0382019N;ECOLE PRIMAIRE;38310;POLIENAS;public;64.0;111.5
2022-2023;GRENOBLE;038;ISERE;0382021R;ECOLE PRIMAIRE;38099;CHEVRIERES;public;84.0;108.2
2022-2023;GRENOBLE;038;ISERE;0382060H;ECOLE PRIMAIRE GRAND PRE BUCLOS;38229;MEYLAN;public;150.0;127.8
2022-2023;GRENOBLE;038;ISERE;0382061J;ECOLE PRIMAIRE ROMAIN ROLLAND;38421;SAINT MARTIN D HERES;public;171.0;99.1
2022-2023;GRENOBLE;038;ISERE;0382071V;ECOLE PRIMAIRE;38384;SAINT ETIENNE DE SAINT GEOIRS;public;194.0;104.3
2022-2023;GRENOBLE;038;ISERE;0382073X;ECOLE PRIMAIRE CLAUDIUS MOUSSIER;38480;SEPTEME;public;111.0;115.5
2022-2023;GRENOBLE;038;ISERE;0382076A;ECOLE PRIMAIRE JEAN RACINE;38185;GRENOBLE;public;147.0;75.1
2022-2023;GRENOBLE;038;ISERE;0382118W;ECOLE PRIMAIRE LE VILLARET;38499;SUSVILLE;public;37.0;89.5
2022-2023;GRENOBLE;038;ISERE;0382123B;ECOLE PRIMAIRE;38343;ROMAGNIEU;public;94.0;113.0
